distance_m,easting_m,northing_m,elevation_m_egm2008,dem_valid
4650.0,339064.03929903667,3125343.113066619,1684.2305908203125,True
4680.0,339042.6671288808,3125322.060030191,1686.1822509765625,True
4710.0,339021.92050805036,3125300.4127142206,1673.4658203125,True
4740.0,339001.99013567035,3125277.9899521964,1666.4046630859375,True
4770.0,338982.4541508517,3125255.2284537074,1663.7332763671875,True
4800.0,338965.5061112396,3125230.7312647593,1666.6505126953125,True
4830.0,338952.62638312706,3125203.6367523307,1672.05029296875,True
4860.0,338941.01879449404,3125175.980574429,1677.214111328125,True
4890.0,338929.6741518893,3125148.2083025705,1664.8580322265625,True
4920.0,338924.4155735181,3125118.8804221135,1659.1016845703125,True
4950.0,338921.0421561153,3125089.0706912354,1649.412109375,True
4980.0,338918.14552039886,3125059.2481695376,1640.122314453125,True
5010.0,338919.91579987225,3125029.300446576,1633.0316162109375,True
5040.0,338921.7232614416,3124999.354970423,1631.759765625,True
5070.0,338923.57200735505,3124969.4119889657,1633.596435546875,True
5100.0,338925.2537008389,3124939.459480958,1635.7652587890625,True
5130.0,338926.3834552136,3124909.4903007923,1639.2674560546875,True
5160.0,338926.2068736467,3124879.490820481,1641.9912109375,True
5190.0,338925.91194352077,3124849.498820426,1640.217529296875,True
5220.0,338922.3099569133,3124819.715843871,1637.030517578125,True
5250.0,338921.0075275306,3124789.8774660644,1633.867431640625,True
5280.0,338923.17109643127,3124759.955584947,1632.744384765625,True
5310.0,338924.25930812233,3124730.1202088143,1634.1065673828125,True
5340.0,338917.3404988784,3124700.92894165,1635.106689453125,True
5370.0,338906.97693441855,3124672.9217076283,1632.806640625,True
5400.0,338896.50023937324,3124644.874518186,1633.3721923828125,True
5430.0,338890.22514175484,3124615.5850953558,1636.3604736328125,True
5460.0,338892.31842871266,3124585.8565834584,1633.8211669921875,True
5490.0,338904.7994737451,3124558.5761231454,1629.5338134765625,True
5520.0,338930.1143085485,3124542.9602358206,1629.919677734375,True
5550.0,338955.2651206315,3124526.7132863766,1641.076171875,True
5580.0,338969.3821347539,3124500.716029823,1649.31884765625,True
5610.0,338973.4275383441,3124471.2857860583,1640.94287109375,True
5640.0,338974.2797811381,3124441.2979002004,1636.8529052734375,True
5670.0,338979.3929307675,3124411.867820459,1637.300537109375,True
5700.0,338985.61396846565,3124382.522744367,1636.1759033203125,True
5730.0,338991.60272160114,3124353.1265739384,1636.63037109375,True
5760.0,339000.76170363894,3124324.6307964595,1643.5645751953125,True
5790.0,339017.12275887653,3124299.689434088,1639.7783203125,True
5820.0,339038.1412975766,3124278.3419800387,1663.7958984375,True
5850.0,339054.60749321355,3124253.3996832883,1648.6387939453125,True
5880.0,339064.7243723252,3124225.1570071215,1654.87841796875,True
5910.0,339074.99989980686,3124196.9730691602,1648.3675537109375,True
5940.0,339085.71432889305,3124168.9516307716,1642.9422607421875,True
5970.0,339097.11989922484,3124141.2282955186,1657.326416015625,True
6000.0,339110.14754691086,3124114.204594888,1652.847412109375,True
6030.0,339119.54096600285,3124086.047099328,1672.7076416015625,True
6060.0,339121.04339342116,3124056.170367356,1672.3863525390625,True
6090.0,339120.92703963054,3124026.1705929935,1668.4913330078125,True
